"sensor","value","time","id"
"TCB",22.60,"2020-04-09 10:53:56",609102
"TCB",20.60,"2020-04-09 10:08:56",609048
"HUMB",23.00,"2020-04-09 10:23:56",609064
"TCB",21.40,"2020-04-09 10:23:56",609066
"HUMB",43.00,"2020-04-10 09:23:56",611125
"TCB",17.70,"2020-04-10 09:23:56",611127
"HUMB",41.00,"2020-04-10 09:38:56",611143
"TCB",17.30,"2020-04-10 09:38:56",611145
"HUMB",38.00,"2020-04-10 09:53:56",611161
"HUMB",37.00,"2020-04-10 10:23:56",611188
"TCB",17.80,"2020-04-10 10:23:56",611190
"HUMB",37.00,"2020-04-10 10:38:56",611206
"TCB",19.20,"2020-04-10 10:38:56",611208
"HUMB",33.00,"2020-04-10 10:53:56",611224
"TCB",19.70,"2020-04-10 10:53:56",611226
"TCB",17.50,"2020-04-10 09:53:56",611163
"HUMB",37.00,"2020-04-10 10:08:56",611179
"TCB",17.10,"2020-04-10 10:08:56",611181
"HUMB",26.00,"2020-04-11 09:53:56",612934
"TCB",19.40,"2020-04-11 09:53:56",612936
"HUMB",28.00,"2020-04-11 09:08:56",612880
"TCB",18.70,"2020-04-11 09:08:56",612882
"HUMB",28.00,"2020-04-11 10:08:56",612952
"HUMB",30.00,"2020-04-11 09:23:56",612898
"TCB",16.80,"2020-04-11 09:23:56",612900
"HUMB",27.00,"2020-04-11 09:38:56",612916
"TCB",18.40,"2020-04-11 09:38:56",612918
"TCB",18.90,"2020-04-11 10:08:56",612954
"HUMB",26.00,"2020-04-11 10:38:57",612970
"TCB",19.70,"2020-04-11 10:38:57",612972
"HUMB",27.00,"2020-04-11 10:53:57",612988
"TCB",19.10,"2020-04-11 10:53:57",612990
"HUMB",33.00,"2020-04-12 09:23:56",614671
"TCB",18.30,"2020-04-12 09:23:56",614673
"HUMB",32.00,"2020-04-12 09:08:56",614653
"TCB",18.80,"2020-04-12 09:08:56",614655
"HUMB",32.00,"2020-04-12 09:38:56",614689
"TCB",18.90,"2020-04-12 09:38:56",614691
"HUMB",29.00,"2020-04-12 09:53:57",614698
"TCB",19.80,"2020-04-12 09:53:57",614700
"HUMB",28.00,"2020-04-12 10:08:57",614716
"TCB",20.70,"2020-04-12 10:08:57",614718
"HUMB",28.00,"2020-04-12 10:23:56",614725
"TCB",20.30,"2020-04-12 10:23:56",614727
"HUMB",27.00,"2020-04-12 10:38:56",614743
